ID , Year, Month (r), Date      , Ticker       , Transation                  , Stock Proceeds, Units      , Balance Units, Cost  Unit Price, Total Cost (H*J), Balance Total Cost (prior + K), Avarage Price (K/H), B3 Unit Price, B3  Total Price  (I*N), 7        , 31       , 365      , YTD      , Instrument Type, Investment Broker , CNPJ              , IR       , Dollar Date, Total_(stocks + proceeds), Overall  % Var, Overall  %   YTD
116, 2021,         8, 26/08/2021, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 10,81"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
117, 2021,         8, 26/08/2021, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 13,35"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
118, 2021,         8, 26/08/2021, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 14,91"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
119, 2021,         8, 26/08/2021, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 12,88"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
120, 2021,         8, 26/08/2021, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 26,13"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
121, 2021,         8, 27/08/2021, ADABRL       , Sell                        ,               , "-167,4000", "178,48809"  , "R$ 6,89"       , "-R$ 1.153,39"  , "R$ 1.229,79"                 , "R$ 6,89"          , "R$ 1,28"    , "R$ 228,46"           , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Cryptocoins    , Binance           , 37.512.394/0001-77,          , NOT FOUND  ,                          ,               , 
122, 2021,         9, 08/09/2021, HSML11       , RENDIMENTOS                 , "R$ 41,50"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
123, 2021,         9, 08/09/2021, IRBR3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 7,10"     ,            , "283,00000"  , "R$ 30,48"      , "R$ 121,92"     , "R$ 9.839,84"                 , "R$ 34,77"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Insurance      , Rico Investimentos, 33.376.989/0001-91,          , NOT FOUND  ,                          ,               , 
124, 2021,         9, 08/09/2021, IRBR3        , RENDIMENTOS                 , "R$ 0,32"     ,            , "283,00000"  , "R$ 30,48"      , "R$ 121,92"     , "R$ 9.839,84"                 , "R$ 34,77"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Insurance      , Rico Investimentos, 33.376.989/0001-91,          , NOT FOUND  ,                          ,               , 
125, 2021,         9, 15/09/2021, HGRU11       , RENDIMENTOS                 , "R$ 50,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
126, 2021,         9, 15/09/2021, KNRI11       , RENDIMENTOS                 , "R$ 43,80"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
127, 2021,         9, 30/09/2021, BVMF:VALE3   , DIVIDENDOS                  , "R$ 1.278,76" ,            , "156,00000"  , "R$ 60,57"      , "R$ 9.448,92"   , "R$ 9.448,92"                 , "R$ 60,57"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Mining         , Rico Investimentos, 33.592.510/0001-54,          , NOT FOUND  ,                          ,               , 
128, 2021,        10, 01/10/2021, ITSA4        , DIVIDENDOS                  , "R$ 14,00"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
129, 2021,        10, 07/10/2021, B3SA3        , DIVIDENDOS                  , "R$ 115,50"   ,            , "768,00000"  , "R$ 11,38"      , "R$ 5.826,56"   , "R$ 11.653,12"                , "R$ 15,17"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
130, 2021,        10, 07/10/2021, B3SA3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 28,86"    ,            , "768,00000"  , "R$ 11,38"      , "R$ 5.826,56"   , "R$ 11.653,12"                , "R$ 15,17"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25, "R$ 5,09", NOT FOUND  ,                          ,               , 
131, 2021,        10, 07/10/2021, HSML11       , RENDIMENTOS                 , "R$ 43,16"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
132, 2021,        10, 15/10/2021, HGRU11       , RENDIMENTOS                 , "R$ 50,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
133, 2021,        10, 15/10/2021, KNRI11       , RENDIMENTOS                 , "R$ 46,20"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
134, 2021,        11, 08/11/2021, HSML11       , RENDIMENTOS                 , "R$ 43,16"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
135, 2021,        11, 15/11/2021, HGRU11       , RENDIMENTOS                 , "R$ 50,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
136, 2021,        11, 15/11/2021, KNRI11       , RENDIMENTOS                 , "R$ 46,20"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
137, 2021,        12, 07/12/2021, HSML11       , RENDIMENTOS                 , "R$ 43,16"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
138, 2021,        12, 14/12/2021, HGRU11       , RENDIMENTOS                 , "R$ 50,40"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
139, 2021,        12, 14/12/2021, KNRI11       , RENDIMENTOS                 , "R$ 46,20"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
140, 2021,        12, 30/12/2021, B3SA3        , DIVIDENDOS                  , "R$ 114,77"   ,            , "768,00000"  , "R$ 11,38"      , "R$ 5.826,56"   , "R$ 11.653,12"                , "R$ 15,17"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25,          , NOT FOUND  ,                          ,               , 
141, 2022,         1, 03/01/2022, ITSA4        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 14,00"    ,            , "735,00000"  , "R$ 13,20"      , "R$ 462,00"     , "R$ 9.702,00"                 , "R$ 13,20"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Rico Investimentos, 61.532.644/0001-15,          , NOT FOUND  ,                          ,               , 
142, 2022,         1, 07/01/2022, B3SA3        , JUROS S/ CAPITAL PRÓPRIO    , "R$ 32,49"    ,            , "768,00000"  , "R$ 11,38"      , "R$ 5.826,56"   , "R$ 11.653,12"                , "R$ 15,17"         , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Financial      , Àgora             , 09.346.601/0001-25, "R$ 5,73", NOT FOUND  ,                          ,               , 
143, 2022,         1, 07/01/2022, HSML11       , RENDIMENTOS                 , "R$ 43,16"    ,            , "83,00000"   , "R$ 119,82"     , "R$ 9.945,06"   , "R$ 9.945,06"                 , "R$ 119,82"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 32.892.018/0001-31,          , NOT FOUND  ,                          ,               , 
144, 2022,         1, 14/01/2022, HGRU11       , RENDIMENTOS                 , "R$ 53,20"    ,            , "70,00000"   ,                 , "R$ 1.380,30"   , "R$ 9.662,10"                 , "R$ 138,03"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 29.641.226/0001-53,          , NOT FOUND  ,                          ,               , 
145, 2022,         1, 14/01/2022, KNRI11       , RENDIMENTOS                 , "R$ 52,80"    ,            , "60,00000"   , "R$ 164,55"     , "R$ 9.873,00"   , "R$ 9.873,00"                 , "R$ 164,55"        , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, FII            , Rico Investimentos, 12.005.956/0001-65,          , NOT FOUND  ,                          ,               , 
146, 2022,         1, 25/01/2022, BTCBRL       , Buy                         ,               , "0,0491"   , "0,06198"    , "R$ 203.643,76" , "R$ 10.000,00"  , "R$ 12.500,00"                , "R$ 201.663,77"    , NOT FOUND    ,                       , NOT FOUND, NOT FOUND, NOT FOUND, NOT FOUND, Cryptocoins    , Binance           , 37.512.394/0001-77,          , NOT FOUND  ,                          ,               , 
